Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Janeiro;AC;231.0;0.0;177197.0;1770475.0;0.0;1084940.0
2000;Janeiro;AL;475088.0;33873.0;460804.0;7493570.0;0.0;4454947.0
2000;Janeiro;AM;11679405.0;0.0;700623.0;44000981.0;0.0;10174718.0
2000;Janeiro;AP;24267.0;0.0;139226.0;1682102.0;0.0;1444486.0
2000;Janeiro;BA;10476457.0;13.0;2498647.0;81027229.0;0.0;27277025.0
2000;Janeiro;CE;5576921.0;0.0;1971500.0;36892799.0;0.0;15940490.0
2000;Janeiro;DF;2254341.0;43.0;3067374.0;141910257.0;0.0;257391352.0
2000;Janeiro;ES;31950799.0;0.0;1620843.0;49157907.0;0.0;9380778.0
2000;Janeiro;GO;3747911.0;0.0;1401385.0;47986002.0;0.0;13094463.0
2000;Janeiro;MA;1714749.0;69.0;479170.0;9654439.0;0.0;4149532.0
2000;Janeiro;MG;35549181.0;57.0;11038328.0;173737137.0;0.0;73410958.0
2000;Janeiro;MS;437668.0;0.0;1926537.0;13141747.0;0.0;4331201.0
2000;Janeiro;MT;302002.0;0.0;537577.0;14454666.0;0.0;6702247.0
2000;Janeiro;PA;1321715.0;0.0;885476.0;17597074.0;0.0;9891932.0
2000;Janeiro;PB;1351422.0;0.0;531092.0;11047735.0;0.0;9164933.0
2000;Janeiro;PE;6268803.0;13.0;1679485.0;51098148.0;0.0;26054337.0
2000;Janeiro;PI;382374.0;0.0;291999.0;8970699.0;0.0;3839267.0
2000;Janeiro;PR;45984119.0;0.0;5748682.0;134479291.0;0.0;39875650.0
2000;Janeiro;RJ;54679975.0;110.0;36256377.0;873100045.0;0.0;247291061.0
2000;Janeiro;RN;997074.0;0.0;493904.0;13165671.0;0.0;9790539.0
2000;Janeiro;RO;10184.0;0.0;703484.0;6446545.0;0.0;7955556.0
2000;Janeiro;RR;2047.0;0.0;84094.0;1235857.0;0.0;1178651.0
2000;Janeiro;RS;23706984.0;17019.0;7983115.0;200556246.0;0.0;68118112.0
2000;Janeiro;SC;10437923.0;0.0;2565756.0;88190893.0;0.0;26629264.0
2000;Janeiro;SE;641774.0;0.0;636954.0;8814324.0;0.0;3836728.0
2000;Janeiro;SP;314476068.0;943.0;120292536.0;1362196861.0;0.0;548114688.0
2000;Janeiro;TO;93.0;161.0;67719.0;2848843.0;0.0;809722.0
2000;Fevereiro;AC;441.0;0.0;144788.0;1389041.0;0.0;893024.0
2000;Fevereiro;AL;291946.0;0.0;613939.0;6868060.0;0.0;4346350.0
2000;Fevereiro;AP;24385.0;0.0;133473.0;1264476.0;0.0;1712222.0
2000;Fevereiro;AM;10801921.0;0.0;622857.0;34742922.0;0.0;11156861.0
2000;Fevereiro;BA;10061984.0;0.0;2447841.0;73847013.0;0.0;27091958.0
2000;Fevereiro;CE;6869180.0;0.0;1816175.0;37300896.0;0.0;17249738.0
2000;Fevereiro;DF;2526852.0;133.0;3740156.0;102979088.0;0.0;175214663.0
2000;Fevereiro;ES;46433679.0;0.0;1142166.0;37821279.0;0.0;11828814.0
2000;Fevereiro;GO;2759681.0;0.0;1116612.0;39024921.0;0.0;9511379.0
2000;Fevereiro;MA;721208.0;0.0;534351.0;8414577.0;0.0;4671437.0
